date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,home_rolling_goals,away_rolling_goals,home_rank,away_rank,home_points,away_points,rank_diff,average_rank,point_diff,is_friendly,goals_rolling_diff,target
2023-03-23,French Guiana,Dominican Republic,1.0,1.0,CONCACAF Nations League,Cayenne,French Guiana,False,0.0,0.0,100.0,152.0,0.0,1031.86,-52.0,126.0,-1031.86,0,0.0,0
2023-03-23,Guadeloupe,Antigua and Barbuda,0.0,1.0,CONCACAF Nations League,Les Abymes,Guadeloupe,False,0.0,0.0,100.0,131.0,0.0,1117.01,-31.0,115.5,-1117.01,0,0.0,0
2023-03-23,Barbados,Cuba,0.0,1.0,CONCACAF Nations League,Bridgetown,Barbados,False,1.5,0.0,166.0,168.0,982.27,978.65,-2.0,167.0,3.6200000000000045,0,1.5,0
2023-03-23,Suriname,Mexico,0.0,2.0,CONCACAF Nations League,Paramaribo,Suriname,False,0.0,0.0,139.0,15.0,1077.3,1635.78,124.0,77.0,-558.48,0,0.0,0
2023-03-23,Slovakia,Luxembourg,0.0,0.0,UEFA Euro qualification,Trnava,Slovakia,False,0.0,0.0,54.0,92.0,1425.58,1245.35,-38.0,73.0,180.23000000000002,0,0.0,0
2023-03-23,Bosnia and Herzegovina,Iceland,3.0,0.0,UEFA Euro qualification,Zenica,Bosnia and Herzegovina,False,0.0,1.0,57.0,63.0,1403.51,1380.35,-6.0,60.0,23.160000000000082,0,-1.0,1
2023-03-23,Portugal,Liechtenstein,4.0,0.0,UEFA Euro qualification,Lisbon,Portugal,False,0.0,0.0,9.0,198.0,1702.54,859.84,-189.0,103.5,842.6999999999999,0,0.0,1
2023-03-23,Kazakhstan,Slovenia,1.0,2.0,UEFA Euro qualification,Astana,Kazakhstan,False,0.0,0.0,115.0,62.0,1163.09,1389.06,53.0,88.5,-225.97000000000003,0,0.0,0
2023-03-23,San Marino,Northern Ireland,0.0,2.0,UEFA Euro qualification,Serravalle,San Marino,False,0.0,0.0,211.0,59.0,763.15,1396.55,152.0,135.0,-633.4,0,0.0,0
2023-03-23,Italy,England,1.0,2.0,UEFA Euro qualification,Napoli,Italy,False,0.0,0.0,8.0,5.0,1723.56,1774.19,3.0,6.5,-50.63000000000011,0,0.0,0
2023-03-23,Denmark,Finland,3.0,1.0,UEFA Euro qualification,Copenhagen,Denmark,False,0.0,0.0,18.0,56.0,1608.11,1405.71,-38.0,37.0,202.39999999999986,0,0.0,1
2023-03-23,Zambia,Lesotho,3.0,1.0,African Cup of Nations qualification,Ndola,Zambia,False,0.0,0.0,88.0,147.0,1265.15,1061.4,-59.0,117.5,203.75,0,0.0,1
2023-03-23,Gabon,Sudan,1.0,0.0,African Cup of Nations qualification,Franceville,Gabon,False,0.0,0.0,79.0,128.0,1305.47,1127.34,-49.0,103.5,178.1300000000001,0,0.0,1
