date,home_team,away_team,home_score,away_score,tournament,rank_diff,average_rank,point_diff,is_friendly,goals_rolling_diff,streak_diff,opp_rank_diff,target
2023-03-25,Sint Maarten,Bonaire,6.0,1.0,CONCACAF Nations League,0.0,100.0,0.0,0,1.0,0.0,100.0,1
2023-03-25,Bermuda,Guyana,0.0,2.0,CONCACAF Nations League,-2.0,170.0,8.730000000000018,0,0.0,0.0,0.0,0
2023-03-25,Montserrat,Haiti,0.0,4.0,CONCACAF Nations League,92.0,133.0,-328.28999999999996,0,0.0,0.0,0.0,0
2023-03-25,Turks and Caicos Islands,United States Virgin Islands,1.0,0.0,CONCACAF Nations League,106.0,153.0,832.0,0,0.0,0.0,0.0,1
2023-03-25,Armenia,Turkey,1.0,2.0,UEFA Euro qualification,-5.0,97.5,1231.76,0,0.0,0.0,0.0,0
2023-03-25,Curaçao,Canada,0.0,2.0,CONCACAF Nations League,33.0,69.5,-153.0,0,0.0,0.0,0.0,0
2023-03-25,Croatia,Wales,1.0,1.0,UEFA Euro qualification,-21.0,17.5,197.33999999999992,0,0.0,0.0,0.0,0
2023-03-25,Myanmar,Kyrgyz Republic,1.0,1.0,Tri Nation Tournament,65.0,126.5,-226.7500000000001,0,0.8,0.2,138.8,0
2023-03-25,Scotland,Cyprus,3.0,0.0,UEFA Euro qualification,-68.0,76.0,291.77,0,0.0,0.0,0.0,1
2023-03-25,Bahrain,Palestine,1.0,2.0,Friendly,-8.0,89.0,46.549999999999955,1,1.25,1.75,88.25,0
2023-03-25,Spain,Norway,3.0,0.0,UEFA Euro qualification,-33.0,26.5,217.66000000000008,0,0.0,0.0,0.0,1
2023-03-25,Bhutan,Laos,1.0,2.0,Tri Nation Tournament,-2.0,186.0,5.4500000000000455,0,-0.4,-0.2,-147.0,0
2023-03-25,Georgia,Mongolia,6.0,1.0,Friendly,-105.0,130.5,392.43000000000006,1,0.0,0.0,0.0,1
2023-03-25,Germany,Peru,2.0,0.0,Friendly,-7.0,17.5,82.61000000000013,1,0.0,0.0,0.0,1
2023-03-25,Bangladesh,Seychelles,1.0,0.0,Friendly,-7.0,195.5,24.8900000000001,1,1.0,1.0,124.0,1
2023-03-25,Morocco,Brazil,2.0,1.0,Friendly,10.0,6.0,-168.42000000000007,1,0.0,0.0,0.0,1
2023-03-25,Thailand,Syria,1.0,3.0,Friendly,21.0,100.5,-78.05999999999995,1,1.3,2.0,56.80000000000001,0
2023-03-25,United Arab Emirates,Tajikistan,0.0,0.0,Friendly,-38.0,89.0,151.46000000000004,1,0.75,1.0,98.25,0
